Time (s),Bitrate,Rebuffer Time (s)
0.0,1427,0.0
30.0,331,0.0
60.0,1427,0.0
90.0,2056,0.0
120.0,1427,0.0
150.0,1427,0.0
180.0,1427,0.0
210.0,688,0.0
240.0,1427,0.0
270.0,2962,0.0
300.0,1427,0.0
330.0,331,0.0
360.0,1427,0.0
390.0,2056,0.0
420.0,1427,0.0
450.0,1427,0.0
480.0,1427,0.0
510.0,688,0.0
540.0,1427,0.0
570.0,2962,0.0
580.173,2962,0.0
580.173,2962,0.0
