BOLA,,,BOLAE,,,Dynamic,,,Dynamicdash,,,Throughput,,
time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s)
0,2962,0,0,2962,0,0,2962,0,0,2962,0,0,2962,0
30,2056,0,30,2056,0,30,2056,0,30,2056,0,30,2056,0
60,991,0,60,991,0,60,991,0,60,991,0,60,991,0
90,230,0,90,230,0,90,230,0,90,230,0,90,230,0
120,2962,0,100.737,230,1.484475,120,2962,0,120,2962,0,113.856,230,2.60328
150,2056,0,120,2962,0,150,2056,0,150,2056,0,120,2962,0
180,991,0,150,2056,0,180,991,0,180,991,0,150,2056,0
210,230,0,180,991,0,210,230,0,210,230,0,180,991,0
240,2962,0,210,230,0,240,2962,0,240,2962,0,210,230,0
270,2056,0,228.611,230,4.874524444,270,2056,0,270,2056,0,240,2962,0
300,991,0,240,2962,0,300,991,0,300,991,0,270,2056,0
330,230,0,270,2056,0,330,230,0,330,230,0,300,991,0
360,2962,0,300,991,0,360,2962,0,360,2962,0,330,230,0
390,2056,0,330,230,0,390,2056,0,390,2056,0,360,2962,0
420,991,0,360,2962,0,420,991,0,420,991,0,390,2056,0
450,230,0,390,2056,0,450,230,0,450,230,0,420,991,0
480,2962,0,420,991,0,480,2962,0,466.894,230,4.641355,450,230,0
510,2056,0,450,230,0,510,2056,0,480,2962,0,480,2962,0
540,991,0,480,2962,0,540,991,0,510,2056,0,510,2056,0
570,230,0,510,2056,0,570,230,0,540,991,0,540,991,0
576.46,230,0.208101,540,991,0,578.053,230,1.800235,570,230,0,570,230,0
593.438,230,0,570,230,0,581.701,230,0.648587,594.282,230,0,582.832,230,0
,,,595.799,230,0,592.808,230,0,,,,,,
