BOLA,,,BOLAE,,,Dynamic,,,Dynamicdash,,,Throughput,,
time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s)
0,1427,0,0,1427,0,0,1427,0,0,1427,0,0,1427,0
30,1427,0,30,1427,0,30,1427,0,30,1427,0,30,1427,0
60,2056,0,60,2056,0,60,2056,0,60,2056,0,60,2056,0
90,2962,0,90,2962,0,90,2962,0,90,2962,0,90,2962,0
120,1427,0,120,1427,0,120,1427,0,120,1427,0,120,1427,0
150,1427,0,150,1427,0,150,1427,0,150,1427,0,150,1427,0
180,2056,0,180,2056,0,180,2056,0,180,2056,0,180,2056,0
210,2962,0,210,2962,0,210,2962,0,210,2962,0,210,2962,0
240,1427,0,240,1427,0,240,1427,0,240,1427,0,240,1427,0
270,1427,0,270,1427,0,270,1427,0,270,1427,0,270,1427,0
300,2056,0,300,2056,0,300,2056,0,300,2056,0,300,2056,0
330,2962,0,330,2962,0,330,2962,0,330,2962,0,330,2962,0
360,1427,0,360,1427,0,360,1427,0,360,1427,0,360,1427,0
390,1427,0,390,1427,0,390,1427,0,390,1427,0,390,1427,0
420,2056,0,420,2056,0,420,2056,0,420,2056,0,420,2056,0
450,2962,0,450,2962,0,450,2962,0,450,2962,0,450,2962,0
480,1427,0,480,1427,0,480,1427,0,480,1427,0,480,1427,0
510,1427,0,510,1427,0,510,1427,0,510,1427,0,510,1427,0
540,2056,0,540,2056,0,540,2056,0,540,2056,0,540,2056,0
570,2962,0,570,2962,0,570,2962,0,570,2962,0,570,2962,0
579.634,2962,0,581.441,2962,0,579.458,2962,0,578.582,2962,0,573.79,2962,0
