browserInfo,osInfo,timeSincePageLoad,modified,uuid,stallDiffsString,videoId,timestamp,totalWatchTimeSeconds,watchRangeFrames,watchRangeSeconds
Chrome Mobile 99.0.4844.88,Android 12,7.054,1,ebea04d9-a81a-40d6-97bd-4d4261194c2e,[369],ZD3x7_TGOaM,2025-01-18 17:02:09,6.3,"[[0,119,480],[120,189,1080]]","[[0.0,3.966667,480],[4.0,6.3,1080]]"
Chrome Mobile 99.0.4844.88,Android 12,3.046,1,ce68960f-6f84-4ba1-854c-8e5f15b58d63,[149],zsMjJMdukjg,2025-01-18 17:02:13,1.733333,"[[0,52,1080]]","[[0.0,1.733333,1080]]"
